No,心情語・慣用表現,読み,難易度,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
205,羨望,せんぼう,高,他人の優れた点や恵まれた境遇を、うらやましく思うこと。,誰からも好かれ、勉強もスポーツも完璧にこなす転校生を遠くから見つめる場面。,「あこがれ」に近い前向きなニュアンスを含む。「嫉妬」のような害意は薄い。
206,妬ましい,ねたましい,並,他人の長所や幸運がうらやましくて、憎らしく悔しい気持ち。,いつも自分より順位が下だった友人が、自分を追い抜いて表彰台に立った場面。,羨望の裏返しとして生じる「相手を引きずり下ろしたいようなドロドロとした敵意」。
207,嫉妬,しっと,並,自分より優れている者を妬み恨むこと。やきもち。,親友が新しくできた別の友達とばかり楽しそうに話し、自分をのけ者にする場面。,友情や愛情の独占欲から生じる反発。「ジェラシー」の文脈で頻出。
208,ほだされる,ほだされる,高,情に引きずられて、自分の意志や原則を変えてしまうこと。,厳しく断るつもりだったのに、相手が必死に頭を下げて涙を流す姿を見て許してしまう場面。,「絆される」。理屈では拒絶すべきなのに「情に流されて妥協してしまう」心理。
209,労る,いたわる,中,弱い立場の人や苦労している人を同情し、大切に優しく接すること。,泥だらけになって働いて帰ってきた母親の肩を、何も言わずに揉んであげる場面。,「甘やかす」のではなく、「相手の労苦を理解し、慈しみの心で報いる」能動的善意。
210,不憫,ふびん,高,かわいそうで哀れむべき様子。同情すべき境遇。,親を亡くし、小さな体で懸命に弟の面倒を見る幼子の姿を近所の人が見守る場面。,上から目線の軽蔑ではなく、「守ってあげたいという深い同情・哀憐」。
211,敬遠,けいえん,中,表面上は敬うふりをして、実際には煙たがって遠ざけること。,融通の利かない厳格な学級委員に対し、表立って逆らわずにみんなで距離を置く場面。,「嫌いだから無視する」のではなく、「当たり障りなく距離をとって関わりを避ける」大人の心理。
212,畏怖,いふ,高,大いなるものや優れた力を恐れ、同時に深く敬うこと。,圧倒的な神木の前に立ったときや、孤高の武道家の気迫に触れて息をのむ場面。,単なる恐怖（スリラー）ではなく、「神聖さや卓越した力量に対する敬意を含んだ恐怖」。
213,敬意,けいい,中,相手の人格や業績を尊び、敬う気持ち。,負けた相手の健闘を称え、審判の前に進み出て深々と礼をする場面。,精神的に自立した人物が、ライバルや他者に対して抱く清々しいリスペクト。
214,一目置く,いちもくおく,中,相手の実力が自分より優れていることを認め、敬意を払うこと。,普段はお調子者だが、プログラミングの話になると専門家並みの知識を発揮する友人を認める場面。,囲碁用語由来。「自分と同等以上であると実力を認めて一歩譲る」心理。
